id,name,category,doc_id
369,vehicle immobilization technologies,TECHNOLOGY,2346
370,privacy,RISK,2346
371,civil liberties,RISK,2346
372,OMB,ACTOR,2390
373,NIST,ACTOR,2390
374,AI system,TECHNOLOGY,2390
375,Title 5 of the United States Code,LEGAL_SOURCE,2390
376,transparency,OTHER,2390
377,accountability,OTHER,2390
378,national security,RISK,2390
379,Department of Agriculture,ACTOR,2325
380,NIST,ACTOR,2325
381,FCC,ACTOR,2325
382,GAO,ACTOR,2325
383,Senate,ACTOR,2325
384,House,ACTOR,2325
385,precision agriculture,TECHNOLOGY,2325
386,AI,TECHNOLOGY,2325
387,advanced wireless technology,TECHNOLOGY,2325
388,cybersecurity,RISK,2325
389,voluntary interconnectivity standards,REQUIREMENT,2325
390,CBP,ACTOR,2534
391,AI,TECHNOLOGY,2534
392,ML,TECHNOLOGY,2534
393,autonomous,TECHNOLOGY,2534
394,sensors,TECHNOLOGY,2534
395,U.S. borders,OTHER,2534
396,surveillance towers,TECHNOLOGY,2534
397,Social Security Act,LEGAL_SOURCE,2408
398,Department of Health and Human Services,ACTOR,2408
399,Medicare,REQUIREMENT,2408
400,FDA,ACTOR,2408
401,AI,TECHNOLOGY,2408
402,ML,TECHNOLOGY,2408
403,software,TECHNOLOGY,2408
404,2022 Medicare rule,LEGAL_SOURCE,2408
405,healthcare,DOMAIN,2408
406,Public Health Service Act,LEGAL_SOURCE,2321
407,Department of Health and Human Services,ACTOR,2321
408,Medicare,REQUIREMENT,2321
409,Medicare,REQUIREMENT,2321
410,AI,TECHNOLOGY,2321
411,ML,TECHNOLOGY,2321
412,biosimilar drugs,DOMAIN,2321
413,generic drugs,DOMAIN,2321
414,AI training,LIFECYCLE_STAGE,2421
415,Extended Collective Licensing,LEGAL_SOURCE,2421
416,Department of Justice,ACTOR,2421
417,antitrust,LEGAL_SOURCE,2421
418,Congress,ACTOR,2421
419,AI law,LEGAL_SOURCE,2421
420,collective licensing,REQUIREMENT,2421
421,Congress,ACTOR,2422
422,First Amendment,LEGAL_SOURCE,2422
423,U.S. Copyright Office,ACTOR,2422
424,AI governance,OTHER,2422
425,digital replicas,RISK,2422
426,state rights of publicity,LEGAL_SOURCE,2422
427,monetary damages,OTHER,2422
428,injunctive relief,OTHER,2422
429,secondary liability,OTHER,2422
430,safe harbor,LEGAL_SOURCE,2422
431,Coast Guard,ACTOR,2535
432,United States Code,LEGAL_SOURCE,2535
433,autonomous maritime systems,TECHNOLOGY,2535
434,unmanned aircraft systems,TECHNOLOGY,2535
435,maritime domain awareness equipment,TECHNOLOGY,2535
436,Congress,ACTOR,2535
437,reporting requirements,REQUIREMENT,2535
438,expenditure plan,LEGAL_SOURCE,2535
439,DHS,ACTOR,2312
440,AI,TECHNOLOGY,2312
441,ML,TECHNOLOGY,2312
442,border security,REQUIREMENT,2312
443,privacy impacts,RISK,2312
444,CBP Innovation Teams,REQUIREMENT,2312
445,CBP,ACTOR,2312
446,Innovation Teams,REQUIREMENT,2312
447,technology acquisition and integration,TECHNOLOGY,2312
448,radio communications systems,TECHNOLOGY,2413
449,wildland fire,REQUIREMENT,2413
450,prescribed fire operations,REQUIREMENT,2413
451,real-time or near-real-time situational awareness tools,TECHNOLOGY,2413
452,remote sensing,TECHNOLOGY,2413
453,mapping capabilities,TECHNOLOGY,2413
454,wildland fire predictive modeling,TECHNOLOGY,2413
455,AI,TECHNOLOGY,2413
456,Act,LEGAL_SOURCE,2413
457,"Federal Food, Drug, and Cosmetic Act",LEGAL_SOURCE,2276
458,AI,TECHNOLOGY,2276
459,ML,TECHNOLOGY,2276
460,FDA,ACTOR,2276
461,state statutes,LEGAL_SOURCE,2276
462,Homeland Security Act of 2002,LEGAL_SOURCE,2351
463,AI,TECHNOLOGY,2351
464,AI,TECHNOLOGY,2351
465,DHS,ACTOR,2351
466,James M. Inhofe National Defense Authorization Act for Fiscal Year 2023,LEGAL_SOURCE,2351
467,unmanned aerial systems,TECHNOLOGY,2530
468,AI,TECHNOLOGY,2530
469,Department of Defense Credit Program,REQUIREMENT,2530
470,DoD,ACTOR,2530
471,defense,DOMAIN,2530
472,hypersonic strike programs,TECHNOLOGY,2530
473,supply chains,REQUIREMENT,2530
474,critical mineral industries,REQUIREMENT,2530
475,Test Resource Management Center,ACTOR,2531
476,AI,TECHNOLOGY,2531
477,United States Cyber Command,ACTOR,2531
478,digital test environment,TECHNOLOGY,2531
479,Defense Innovation Unit,ACTOR,2531
480,Quantum Benchmarking Initiative,REQUIREMENT,2531
481,autonomous military capabilities,TECHNOLOGY,2531
482,AI projects,TECHNOLOGY,2531
483,defense,DOMAIN,2531
484,AI,TECHNOLOGY,2528
485,Medicare,REQUIREMENT,2528
486,Secretary,ACTOR,2528
487,AI vendors,ACTOR,2528
488,data scientists,ACTOR,2528
489,Congress,ACTOR,2528
490,Federal Hospital Insurance Trust Fund,REQUIREMENT,2528
491,Federal Supplementary Medical Insurance Trust Fund,REQUIREMENT,2528
492,AI tools,TECHNOLOGY,2528
493,healthcare,DOMAIN,2528
494,OMB,ACTOR,2412
495,Department of Energy,ACTOR,2412
496,NSF,ACTOR,2412
497,NIST,ACTOR,2412
498,AI,TECHNOLOGY,2412
499,Federal grant applications,LEGAL_SOURCE,2412
500,grant application process,REQUIREMENT,2412
501,"waste, fraud, and abuse",OTHER,2412
502,covered entities,ACTOR,2273
503,patient care decision support tools,TECHNOLOGY,2273
504,health programs or activities,DOMAIN,2273
505,"discriminating based on race, color, national origin, sex, age, or disability",RISK,2273
506,discrimination risks,RISK,2273
507,U.S. government,OTHER,2418
508,Israel,OTHER,2418
509,AI,TECHNOLOGY,2418
510,cybersecurity,TECHNOLOGY,2418
511,robotics,TECHNOLOGY,2418
512,quantum,TECHNOLOGY,2418
513,automation,TECHNOLOGY,2418
514,Department of Defense,ACTOR,2418
515,Department of State,ACTOR,2418
516,National Intelligence,ACTOR,2418
517,national security,RISK,2418
518,Irregular Warfare Technology Support Directorate,ACTOR,2418
519,Congress,ACTOR,2418
520,defense,DOMAIN,2418
521,autonomy,TECHNOLOGY,2529
522,AI,TECHNOLOGY,2529
523,naval shipbuilding,DOMAIN,2529
524,unmanned surface vessel,TECHNOLOGY,2529
525,unmanned underwater vehicle,TECHNOLOGY,2529
526,maritime robotic autonomous systems,TECHNOLOGY,2529
527,Test Resource Management Center,ACTOR,2529
528,robotic autonomous systems proving ground,REQUIREMENT,2529
529,wave-powered unmanned underwater vehicles,TECHNOLOGY,2529
530,Air National Guard,ACTOR,2411
531,Air Force,ACTOR,2411
532,fighter aircraft,TECHNOLOGY,2411
533,unmanned or autonomous capabilities,TECHNOLOGY,2411
534,F-16,TECHNOLOGY,2411
535,combatant commanders,ACTOR,2411
536,congressional defense committees,ACTOR,2411
537,autonomous agents,TECHNOLOGY,2315
538,cruise missiles,TECHNOLOGY,2315
539,drones,TECHNOLOGY,2315
540,U.S. government,OTHER,2315
541,automation,TECHNOLOGY,2533
542,AI,TECHNOLOGY,2533
543,DoD,ACTOR,2533
544,financial statements,LEGAL_SOURCE,2533
545,chapter 9A,LEGAL_SOURCE,2533
546,"section 2222 of title 10, United States Code",LEGAL_SOURCE,2533
547,U.S. government,OTHER,2533
548,AI,TECHNOLOGY,1740
549,ML,TECHNOLOGY,1740
550,U.S. policy,LEGAL_SOURCE,1740
551,AI use,LEGAL_SOURCE,1740
552,nuclear safeguards,RISK,1740
553,weapon system functionality,RISK,1740
554,command communications,TECHNOLOGY,1740
555,President,ACTOR,1740
556,Department of Defense,ACTOR,1750
557,Army,ACTOR,1750
558,Navy,ACTOR,1750
559,Air Force,ACTOR,1750
560,AI,TECHNOLOGY,1750
561,ML,TECHNOLOGY,1750
562,DoD,ACTOR,1750
563,Chief Digital and Artificial Intelligence Officer,ACTOR,1750
564,Under Secretary of Defense for Research and Engineering,ACTOR,1750
565,Inspector General,ACTOR,1750
566,financial management,REQUIREMENT,1750
567,enterprise business operations,REQUIREMENT,1750
568,Texas,OTHER,2097
569,Texas Responsible Artificial Intelligence Governance Act,LEGAL_SOURCE,2097
570,AI systems,TECHNOLOGY,2097
571,Artificial Intelligence Council,ACTOR,2097
572,regulatory sandbox program,REQUIREMENT,2097
573,Attorney General,ACTOR,2097
574,privacy,RISK,2097
575,consumer protections,LEGAL_SOURCE,2097
576,social scoring,RISK,2097
577,biometric identification,RISK,2097
578,rights,RISK,2097
579,digital data,TECHNOLOGY,1754
580,aircraft,TECHNOLOGY,1754
581,ships,TECHNOLOGY,1754
582,ground vehicles,TECHNOLOGY,1754
583,data infrastructure,TECHNOLOGY,1754
584,AI,TECHNOLOGY,1754
585,automated systems,TECHNOLOGY,1754
586,open data,TECHNOLOGY,1754
587,data transmission,TECHNOLOGY,1754
588,high-speed technologies,TECHNOLOGY,1754
589,secure methods,RISK,1754
590,user interfaces,TECHNOLOGY,1754
591,tagging systems,REQUIREMENT,1754
592,classification policies,LEGAL_SOURCE,1754
593,unauthorized access,RISK,1754
594,Senate and House Armed Services Committees,ACTOR,1754
595,pilot program,REQUIREMENT,1751
596,AI-enabled software,TECHNOLOGY,1751
597,DoD,ACTOR,1751
598,depots,ACTOR,1751
599,shipyards,ACTOR,1751
600,software platforms,TECHNOLOGY,1751
601,enterprise data sources,TECHNOLOGY,1751
602,Under Secretary of Defense for Acquisition and Sustainment,ACTOR,1751
603,Armed Forces,ACTOR,1751
604,NSA,ACTOR,1739
605,Artificial Intelligence Security Center,ACTOR,1739
606,Cybersecurity Collaboration Center,ACTOR,1739
607,NSA,ACTOR,1739
608,Act,LEGAL_SOURCE,1739
609,counter-artificial intelligence techniques,RISK,1739
610,artificial intelligence adoption practices,LEGAL_SOURCE,1739
611,national security systems,DOMAIN,1739
612,defense industrial base,ACTOR,1739
613,Department of Defense,ACTOR,1746
614,biodefense posture reviews,LEGAL_SOURCE,1746
615,biodefense strategies,LEGAL_SOURCE,1746
616,DoD,ACTOR,1746
617,AI,TECHNOLOGY,1746
618,cyber capabilities,TECHNOLOGY,1746
619,biological attacks,RISK,1746
620,congressional defense committees,ACTOR,1746
621,Navy,ACTOR,1748
622,unmanned underwater vehicles,TECHNOLOGY,1748
623,mission autonomy planning,TECHNOLOGY,1748
624,Navy,ACTOR,1748
625,United States Indo-Pacific Command,ACTOR,1748
626,congressional defense committees,ACTOR,1748
627,underwater vehicle requirements,REQUIREMENT,1748
628,modular payload integration,TECHNOLOGY,1748
629,Department of Defense,ACTOR,1755
630,Digital On-Demand Program,REQUIREMENT,1755
631,DoD,ACTOR,1755
632,Senate and House Armed Services Committees,ACTOR,1755
633,Chief Digital and Artificial Intelligence Officer,ACTOR,1755
634,AI,TECHNOLOGY,1755
635,emerging technologies,TECHNOLOGY,1755
636,data literacy,DOMAIN,1755
637,digital platform,TECHNOLOGY,1755
638,Department of Defense,ACTOR,1742
639,DoD,ACTOR,1742
640,cybersecurity,RISK,1742
641,mobile devices,TECHNOLOGY,1742
642,anonymizing-enabling technologies,TECHNOLOGY,1742
643,network-enabled content inspection,TECHNOLOGY,1742
644,on-device VPNs,TECHNOLOGY,1742
645,AI-based protection,TECHNOLOGY,1742
646,smishing,RISK,1742
647,phishing,RISK,1742
648,cybersecurity architecture,REQUIREMENT,1742
649,congressional defense committees,ACTOR,1742
650,AI systems,TECHNOLOGY,1379
651,human rights,RISK,1379
652,democracy,RISK,1379
653,rule of law,LEGAL_SOURCE,1379
654,transparency,OTHER,1379
655,accountability,OTHER,1379
656,non-discrimination,RISK,1379
657,privacy,RISK,1379
658,human dignity,RISK,1379
659,democratic processes,ACTOR,1379
660,risk management,OTHER,1379
661,mitigation strategies,LEGAL_SOURCE,1379
662,international cooperation,REQUIREMENT,1379
663,compliance monitoring,LIFECYCLE_STAGE,1379
664,accessible remedies,OTHER,1379
665,public consultation,REQUIREMENT,1379
666,digital literacy,DOMAIN,1379
667,procedural safeguards,LEGAL_SOURCE,1379
668,oversight mechanisms,OTHER,1379
669,national security,DOMAIN,1379
670,international human rights law,LEGAL_SOURCE,1379
671,Conference of the Parties,ACTOR,1379
672,facial recognition,TECHNOLOGY,2244
673,China,OTHER,2244
674,R&D,LIFECYCLE_STAGE,2244
675,algorithm training,LIFECYCLE_STAGE,2244
676,personal information,OTHER,2244
677,transparently,OTHER,2244
678,consent,RISK,2244
679,children,ACTOR,2244
680,personal information protection impact assessments,OTHER,2244
681,cyberspace administrations,ACTOR,2244
682,public security authorities,ACTOR,2244
683,facial information,OTHER,2244
684,ethical standards,REQUIREMENT,2244
685,Illinois Future of Work Task Force,ACTOR,389
686,emerging technologies,TECHNOLOGY,389
687,automation,TECHNOLOGY,389
688,AI,TECHNOLOGY,389
689,employment,OTHER,389
690,job standards,REQUIREMENT,389
691,working conditions,REQUIREMENT,389
692,workforce development and training programs,REQUIREMENT,389
693,Governor,ACTOR,389
694,General Assembly,ACTOR,389
695,Illinois,OTHER,389
696,bias audit,OTHER,2002
697,Automated Employment Decision Tools,TECHNOLOGY,2002
698,AEDTs,TECHNOLOGY,2002
699,sex,OTHER,2002
700,race/ethnicity,OTHER,2002
701,bias audit summaries,LEGAL_SOURCE,2002
702,data retention policies,LEGAL_SOURCE,2002
703,employment agencies,ACTOR,2002
704,employers,ACTOR,2002
705,candidates,ACTOR,2002
706,employees,ACTOR,2002
707,generative AI services,TECHNOLOGY,1723
708,training data,TECHNOLOGY,1723
709,model safety,RISK,1723
710,intellectual property rights,LEGAL_SOURCE,1723
