name,category,doc_id,id
CSAM,RISK,942,73
machine-based system,TECHNOLOGY,931,74
Penal Code,LEGAL_SOURCE,6,75
penalties,PENALTY,942,76
children,ACTOR,943,77
felony,PENALTY,943,78
imprisonment,PENALTY,941,79
fines,PENALTY,941,80
government,ACTOR,914,81
law enforcement agencies,ACTOR,944,82
medical,DOMAIN,943,83
scientific,LIFECYCLE_STAGE,873,84
training,REQUIREMENT,935,85
Senate Bill 1381,LEGAL_SOURCE,6,86
"January 1, 2025",LEGAL_SOURCE,932,87
California Senate Bill 1381 (2024),LEGAL_SOURCE,7,88
AI-generated depictions,TECHNOLOGY,905,89
AI-generated content,TECHNOLOGY,912,90
forfeiture,ACCOUNTABILITY,561,91
city,GEOGRAPHIC,246,92
county,GEOGRAPHIC,248,93
state officials,ACTOR,913,94
AI-generated materials,TECHNOLOGY,839,95
act,LEGAL_SOURCE,939,96
AB 1831,LEGAL_SOURCE,7,97
California AB 2839 (2024),LEGAL_SOURCE,8,98
elections,ACTOR,941,99
deepfakes,TECHNOLOGY,941,100
disclosures,TRANSPARENCY,943,101
candidates,ACTOR,941,102
transparency,TRANSPARENCY,900,103
election officials,ACTOR,918,104
injunctive relief,ACCOUNTABILITY,941,105
broadcasting stations,ACTOR,890,106
liability,ACCOUNTABILITY,944,107
bona fide news coverage,LEGAL_SOURCE,892,108
compliance,REQUIREMENT,946,109
federal laws,LEGAL_SOURCE,604,110
deepfake,TECHNOLOGY,920,111
advertisement,DOMAIN,188,112
urgency clause,LEGAL_SOURCE,8,113
AI-driven disinformation,RISK,230,114
California 2023 SCR 17 (Relative to AI),LEGAL_SOURCE,9,115
California Legislature,ACTOR,282,116
President Biden,ACTOR,837,117
Blueprint for an AI Bill of Rights,LEGAL_SOURCE,832,118
Safe and Effective Systems,RISK,9,119
discrimination,RISK,916,120
privacy,RISK,901,121
Notice and Explanation,TRANSPARENCY,9,122
Human Alternatives,RISK,9,123
AI-related policies,LEGAL_SOURCE,359,124
Secretary of the Senate,ACTOR,9,125
California AB 2885 (2024),LEGAL_SOURCE,10,126
California Department of Technology,ACTOR,855,127
inventory,LEGAL_SOURCE,913,128
high-risk automated decision systems,TECHNOLOGY,282,129
state governments,ACTOR,914,130
data,PERSONAL_DATA,938,131
risk mitigation measures,REQUIREMENT,908,132
annual report,LEGAL_SOURCE,913,133
high-risk systems,RISK,866,134
legislative committees,ACTOR,807,135
housing,DOMAIN,930,136
testing and evaluation,LIFECYCLE_STAGE,945,137
governance,ACCOUNTABILITY,946,138
public reporting,TRANSPARENCY,804,139
automation,TECHNOLOGY,850,140
economic development subsidies,REQUIREMENT,10,141
warehouse distribution centers,DOMAIN,10,142
job effects,EMPLOYMENT,10,143
public access,TRANSPARENCY,731,144
"California AB 2355 (2024), Section 8",LEGAL_SOURCE,11,145
disclosure,TRANSPARENCY,940,146
Government Code,LEGAL_SOURCE,11,147
rights,RISK,930,148
Section 230 of Title 47 of the U.S. Code,LEGAL_SOURCE,11,149
interactive service providers,ACTOR,11,150
Commission,ACTOR,913,151
administrative or civil remedies,ACCOUNTABILITY,11,152
disclosure requirements,REQUIREMENT,887,153
misdemeanor,PENALTY,943,154
California AB 1836,LEGAL_SOURCE,12,155
California Civil Code,LEGAL_SOURCE,12,156
consent,RISK,943,157
AI-generated digital replicas,TECHNOLOGY,12,158
unauthorized use,REQUIREMENT,529,159
satire,RISK,941,160
posthumous rights,LEGAL_SOURCE,12,161
Department of State,ACTOR,920,162
public records,LEGAL_SOURCE,12,163
law,LEGAL_SOURCE,944,164
Budget Act of 2024,LEGAL_SOURCE,13,165
staff,ACTOR,921,166
Executive Order N-12-23,LEGAL_SOURCE,13,167
budget,LEGAL_SOURCE,636,168
GenAI pilot projects,REQUIREMENT,161,169
personal information,PERSONAL_DATA,930,170
Civil Code Section 1798.3,LEGAL_SOURCE,13,171
sensitive personal information,SENSITIVE_DATA,13,172
educational records,SENSITIVE_DATA,13,173
medical information,SENSITIVE_DATA,372,174
California's GenAI Guidelines,LEGAL_SOURCE,13,175
de-identified data,PERSONAL_DATA,685,176
research,LIFECYCLE_STAGE,947,177
pilot program,REQUIREMENT,938,178
California Senate Bill 942 (2024),LEGAL_SOURCE,14,179
California AI Transparency Act,LEGAL_SOURCE,14,180
providers,ACTOR,934,181
AI detection tools,TECHNOLOGY,14,182
system provenance data,TRANSPARENCY,14,183
personal provenance data,RISK,14,184
users,ACTOR,904,185
licenses,REQUIREMENT,755,186
civil penalties,PENALTY,934,187
entertainment products,DOMAIN,14,188
California Senate Bill 1120 (2024),LEGAL_SOURCE,15,189
health care service plans,DOMAIN,15,190
disability insurers,DOMAIN,15,191
AI tools,TECHNOLOGY,924,192
clinical data,SENSITIVE_DATA,410,193
datasets,TECHNOLOGY,860,194
healthcare,DOMAIN,861,195
licensed professionals,ACTOR,15,196
state and federal laws,LEGAL_SOURCE,159,197
audits,ACCOUNTABILITY,947,198
accuracy,REQUIREMENT,937,199
reliability,RISK,882,200
misuse,RISK,881,201
patient,RISK,925,202
privacy laws,RISK,938,203
AI usage policies,LEGAL_SOURCE,921,204
California Assembly Bill 2876 (2024),LEGAL_SOURCE,16,205
commission,ACTOR,937,206
AI literacy,DOMAIN,790,207
"mathematics, science, and history-social science curriculum frameworks",LEGAL_SOURCE,16,208
mathematics,DOMAIN,917,209
science,DOMAIN,917,210
state board,ACTOR,16,211
ethical considerations,LEGAL_SOURCE,728,212
media literacy,DOMAIN,727,213
English language arts and English language development,DOMAIN,16,214
"Further Continuing Appropriations and Disaster Relief Supplemental Appropriations Act 2025 (Title IX ""Take It Down Act"")",LEGAL_SOURCE,17,215
Communications Act of 1934,LEGAL_SOURCE,781,216
nonconsensual intimate visual depictions,RISK,18,217
covered platforms,TECHNOLOGY,488,218
user-generated content,DOMAIN,18,219
FTC,ACTOR,760,220
restitution,ACCOUNTABILITY,17,221
TAKE IT DOWN Act,LEGAL_SOURCE,18,222
targeting,TECHNOLOGY,910,223
Act,LEGAL_SOURCE,944,224
platforms,ACTOR,927,225
lawful or investigative purposes,DOMAIN,18,226
public websites or applications,DOMAIN,18,227
California Assembly Bill 2013 (2024),LEGAL_SOURCE,19,228
developer,ACTOR,861,229
synthetic data generation,TECHNOLOGY,19,230
developers,ACTOR,947,231
training data documentation,LEGAL_SOURCE,19,232
documentation,LEGAL_SOURCE,936,233
intellectual property,LEGAL_SOURCE,885,234
AI systems,TECHNOLOGY,947,235
security,RISK,878,236
aircraft,TECHNOLOGY,785,237
national airspace,GEOGRAPHIC,658,238
national security and defense,DOMAIN,19,239
federal entities,ACTOR,557,240
California Assembly Bill 2905 (2024),LEGAL_SOURCE,20,241
Public Utilities Code,LEGAL_SOURCE,20,242
automatic dialing-announcing devices,TECHNOLOGY,20,243
organization,ACTOR,613,244
artificial voice,TECHNOLOGY,20,245
California Assembly Bill 3030 (2024),LEGAL_SOURCE,21,246
health,DOMAIN,897,247
communications,TECHNOLOGY,923,248
disclaimer,LEGAL_SOURCE,906,249
video communications,LEGAL_SOURCE,887,250
licensed health care provider,DOMAIN,21,251
disclaimer requirements,REQUIREMENT,927,252
"Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 222 (""Modification to artificial intelligence education strategy"")",LEGAL_SOURCE,22,253
National Defense Authorization Act for Fiscal Year 2020,LEGAL_SOURCE,22,254
AI and machine learning,TECHNOLOGY,754,255
Chief Digital and Artificial Intelligence Officer,ACTOR,331,256
DoD,ACTOR,915,257
Under Secretary of Defense for Personnel and Readiness,ACTOR,22,258
ethical,RISK,900,259
Armed Forces,DOMAIN,878,260
National Defense Authorization Act for Fiscal Year 2025,LEGAL_SOURCE,22,261
Department of Defense,ACTOR,790,262
congressional defense committees,ACTOR,494,263
"Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1066 (""Reports on approval and deployment of lethal autonomous weapon systems"")",LEGAL_SOURCE,23,264
annual reports,LEGAL_SOURCE,782,265
autonomous weapon systems,TECHNOLOGY,191,266
Secretary,ACTOR,907,267
reports,LEGAL_SOURCE,944,268
classified annex,LEGAL_SOURCE,668,269
Foreign Investment Guardrails to Help Thwart (FIGHT) China Act,LEGAL_SOURCE,24,270
sanctions,LEGAL_SOURCE,827,271
Chinese entities,ACTOR,668,272
defense,DOMAIN,941,273
surveillance,REQUIREMENT,804,274
International Emergency Economic Powers Act,LEGAL_SOURCE,688,275
U.S.,GEOGRAPHIC,863,276
prohibited technologies,TECHNOLOGY,421,277
national security,DOMAIN,886,278
China,GEOGRAPHIC,882,279
U.S. persons,ACTOR,774,280
Non-SDN Chinese Military-Industrial Complex Companies List,LEGAL_SOURCE,24,281
congressional notification,ACCOUNTABILITY,614,282
framework,LEGAL_SOURCE,910,283
public database,LEGAL_SOURCE,664,284
foreign persons,ACTOR,688,285
sensitive information,SENSITIVE_DATA,590,286
Department of the Treasury,ACTOR,766,287
authorities,ACTOR,945,288
S257 Promoting Resilient Supply Chains Act of 2025,LEGAL_SOURCE,25,289
Assistant Secretary of Commerce,ACTOR,599,290
supply chains,REQUIREMENT,793,291
emerging technologies,TECHNOLOGY,877,292
U.S. national security,GEOGRAPHIC,684,293
Supply Chain Resilience Working Group,REQUIREMENT,255,294
federal agencies,ACTOR,837,295
Assistant Secretary,ACTOR,686,296
manufacturing,TECHNOLOGY,937,297
supply chain,REQUIREMENT,720,298
evaluations,LIFECYCLE_STAGE,946,299
H2444 Promoting Resilient Supply Chains Act of 2025,LEGAL_SOURCE,26,300
government entities,ACTOR,637,301
national security risks,RISK,774,302
critical goods,REQUIREMENT,599,303
public disclosure,TRANSPARENCY,710,304
Freedom of Information Act,LEGAL_SOURCE,26,305
strategy reports,LEGAL_SOURCE,577,306
Next Generation Pipelines Research and Development Act,LEGAL_SOURCE,555,307
pipeline technologies,TECHNOLOGY,555,308
AI-driven advancements,TECHNOLOGY,27,309
ML,TECHNOLOGY,937,310
monitoring,LIFECYCLE_STAGE,879,311
2030,REQUIREMENT,854,312
Department of Energy,ACTOR,728,313
models,TECHNOLOGY,876,314
pipeline systems,TECHNOLOGY,653,315
National Pipeline Modernization Center,ACTOR,555,316
AI-assisted pipeline technologies,TECHNOLOGY,27,317
infrastructure,REQUIREMENT,929,318
NIST,ACTOR,847,319
standards,REQUIREMENT,945,320
pipeline safety,RISK,27,321
energy,TECHNOLOGY,865,322
programs,REQUIREMENT,925,323
Promoting United States Leadership in Standards Act of 2025,LEGAL_SOURCE,28,324
AI standards,REQUIREMENT,871,325
U.S. industry,ACTOR,666,326
grants,REQUIREMENT,935,327
program,REQUIREMENT,935,328
fiscal years 2024 through 2028,REQUIREMENT,666,329
Leading Ethical AI Development (LEAD) for Kids Act,LEGAL_SOURCE,29,330
LEAD for Kids Standards Board,ACTOR,29,331
AI developers,ACTOR,947,332
risk assessments,REQUIREMENT,886,333
children's health,DOMAIN,29,334
safety,RISK,945,335
informed consent,RISK,814,336
states,ACTOR,945,337
biometric identification,SENSITIVE_DATA,802,338
independent audits,LIFECYCLE_STAGE,945,339
employees,ACTOR,936,340
Attorney General,ACTOR,941,341
private right of action,REQUIREMENT,760,342
LEAD for Kids AI Fund,DOMAIN,29,343
"Department of Energy Quantum Leadership Act of 2025, Section 2 ""Department of Energy quantum information science research program""",LEGAL_SOURCE,30,344
National Quantum Initiative Act,LEGAL_SOURCE,628,345
quantum technology,TECHNOLOGY,859,346
engineering,DOMAIN,917,347
National Quantum Information Science Research Centers,REQUIREMENT,628,348
quantum,TECHNOLOGY,628,349
plan,LEGAL_SOURCE,914,350
high-performance computing systems,TECHNOLOGY,618,351
quantum high-performance computing,TECHNOLOGY,628,352
R&D,LIFECYCLE_STAGE,868,353
university-led traineeship program,REQUIREMENT,243,354
Confucius Institute,ACTOR,30,355
foreign entities,ACTOR,774,356
TAME Extreme Weather and Wildfires Act,LEGAL_SOURCE,31,357
NOAA,ACTOR,783,358
weather forecasting,TECHNOLOGY,731,359
training data,TECHNOLOGY,861,360
AI weather models,TECHNOLOGY,731,361
AI applications,TECHNOLOGY,859,362
partnerships,ACTOR,935,363
academic,DOMAIN,938,364
environmental forecasting,REQUIREMENT,37,365
AI technologies,TECHNOLOGY,933,366
Responsible AI safety and education act,LEGAL_SOURCE,32,367
New York,GEOGRAPHIC,853,368
Responsible AI Safety and Education (RAISE) Act,LEGAL_SOURCE,32,369
AI frontier models,TECHNOLOGY,32,370
written safety and security protocol,REQUIREMENT,32,371
DHS,ACTOR,757,372
civil actions,REQUIREMENT,943,373
penalties up to $30 million,PENALTY,32,374
frontier AI models,TECHNOLOGY,847,375
New York State,GEOGRAPHIC,202,376
Artificial Intelligence and Critical Technology Workforce Framework Act of 2025,LEGAL_SOURCE,33,377
critical and emerging technologies,TECHNOLOGY,559,378
industry,ACTOR,888,379
AI workforce frameworks,REQUIREMENT,559,380
H.R.1851 Fighter Force Preservation and Recapitalization Act of 2025,LEGAL_SOURCE,34,381
U.S. Code,LEGAL_SOURCE,503,382
fighter aircraft,TECHNOLOGY,62,383
Air Force,ACTOR,331,384
Air National Guard,ACTOR,62,385
financial,RISK,933,386
F–16 Block 70,TECHNOLOGY,34,387
H.R.1569 CATCH Fentanyl Act,LEGAL_SOURCE,35,388
pilot projects,REQUIREMENT,644,389
U.S. land ports of entry,GEOGRAPHIC,35,390
nonintrusive inspection technology,TECHNOLOGY,35,391
private sector,ACTOR,913,392
cost-effectiveness,REQUIREMENT,673,393
data anonymization,RISK,35,394
civil liberties,RISK,886,395
impact assessments,LEGAL_SOURCE,902,396
Advancing Artificial Intelligence Education for American Youth,LEGAL_SOURCE,36,397
White House Task Force on Artificial Intelligence Education,REQUIREMENT,36,398
U.S. government,GEOGRAPHIC,885,399
OSTP,ACTOR,846,400
Task Force,REQUIREMENT,888,401
Federal,ACTOR,837,402
AI education,DOMAIN,790,403
Presidential Artificial Intelligence Challenge,REQUIREMENT,36,404
public-private partnerships,REQUIREMENT,860,405
K-12 AI education resources,DOMAIN,36,406
Department of Education,ACTOR,938,407
Department of Labor,ACTOR,782,408
AI skill development,DOMAIN,36,409
Workforce Innovation and Opportunity Act,LEGAL_SOURCE,780,410
Transformational Artificial intelligence to Modernize the Economy against Extreme Weather and Wildfires Act,LEGAL_SOURCE,37,411
AI adoption,REQUIREMENT,865,412
research entities,ACTOR,454,413
regional,GEOGRAPHIC,922,414
local,ACTOR,921,415
communication,TECHNOLOGY,934,416
weather data,TECHNOLOGY,674,417
Under Secretary,ACTOR,744,418
fiscal years 2026 to 2030,REQUIREMENT,37,419
Fair Grocery Pricing Act,LEGAL_SOURCE,38,420
food producers,ACTOR,38,421
algorithms,TECHNOLOGY,938,422
Sherman Act,LEGAL_SOURCE,747,423
antitrust laws,LEGAL_SOURCE,578,424
state attorneys general,ACTOR,752,425
pre-dispute arbitration agreements,LEGAL_SOURCE,760,426
joint action waivers,LEGAL_SOURCE,38,427
"Coast Guard Authorization Act of 2025, Subtitle C--""Matters Involving Uncrewed Systems""",LEGAL_SOURCE,39,428
National Advisory Committee on Autonomous Maritime Systems,REQUIREMENT,681,429
U.S. territorial waters,GEOGRAPHIC,681,430
small uncrewed maritime systems,TECHNOLOGY,39,431
Coast Guard,ACTOR,680,432
Automated and Autonomous Vessel Policy Council,ACTOR,39,433
uncrewed systems capabilities office,REQUIREMENT,39,434
counter-uncrewed system,TECHNOLOGY,39,435
"Wildfire Prevention Act of 2025, Section 302 ""Public-private wildfire technology deployment and testbed partnership.""",LEGAL_SOURCE,40,436
Department of Agriculture,ACTOR,788,437
covered agencies,ACTOR,885,438
quantum sensing,TECHNOLOGY,764,439
augmented reality,TECHNOLOGY,678,440
wildfire prevention and mitigation,REQUIREMENT,40,441
covered entities,ACTOR,726,442
technology testing and demonstration,REQUIREMENT,40,443
appropriate committees,ACTOR,678,444
Supporting Innovation in Agriculture Act of 2025,LEGAL_SOURCE,41,445
tax credit,LEGAL_SOURCE,772,446
Internal Revenue Code,LEGAL_SOURCE,462,447
precision agriculture,TECHNOLOGY,683,448
controlled environment agriculture,TECHNOLOGY,41,449
software,TECHNOLOGY,942,450
robotics,TECHNOLOGY,850,451
sensors,TECHNOLOGY,742,452
precision agriculture technologies,TECHNOLOGY,673,453
credit,DOMAIN,826,454
Department of Homeland Security Vehicular Terrorism Prevention and Mitigation Act of 2025,LEGAL_SOURCE,42,455
TSA,ACTOR,42,456
CISA,ACTOR,778,457
vehicular terrorism,RISK,42,458
connected and autonomous vehicles,TECHNOLOGY,42,459
ADAS technologies,TECHNOLOGY,42,460
AI-driven cybersecurity vulnerabilities,RISK,42,461
AI-enabled predictive analytics,TECHNOLOGY,42,462
vehicle immobilization technologies,TECHNOLOGY,42,463
intelligence sharing,REQUIREMENT,420,464
Leveraging Artificial Intelligence to Streamline the Code of Federal Regulations Act of 2025,LEGAL_SOURCE,43,465
OMB,ACTOR,751,466
AI system,TECHNOLOGY,947,467
accountability,ACCOUNTABILITY,910,468
Title 5 of the United States Code,LEGAL_SOURCE,43,469
Promoting Precision Agriculture Act of 2025,LEGAL_SOURCE,44,470
FCC,ACTOR,741,471
voluntary interconnectivity standards,REQUIREMENT,500,472
advanced wireless technology,TECHNOLOGY,500,473
GAO,ACTOR,792,474
Senate and House committees,ACTOR,706,475
"One Big Beautiful Bill Act 2025, Section 60003 (""U.S. Customs and Border Protection technology, vetting activities, and other efforts to enhance border security"")",LEGAL_SOURCE,45,476
CBP,ACTOR,696,477
U.S. borders,GEOGRAPHIC,704,478
surveillance towers,TECHNOLOGY,45,479
autonomous capabilities,TECHNOLOGY,530,480
computing,TECHNOLOGY,737,481
Health Tech Investment Act,LEGAL_SOURCE,46,482
Social Security Act,LEGAL_SOURCE,786,483
algorithm,TECHNOLOGY,930,484
Medicare,ACTOR,787,485
Department of Health and Human Services,ACTOR,787,486
manufacturers,ACTOR,907,487
FDA,ACTOR,519,488
2022 Medicare rule,LEGAL_SOURCE,46,489
"H.R.1142 - To amend the Public Health Service Act to direct the Secretary of Health and Human Services to establish drug adherence guidelines, and for other purposes.",LEGAL_SOURCE,47,490
Public Health Service Act,LEGAL_SOURCE,794,491
biosimilar drugs,DOMAIN,47,492
Copyright and Artificial Intelligence Part 3: Generative AI Training Report Pre-Publication Version 2025,LEGAL_SOURCE,48,493
licensing agreements,LEGAL_SOURCE,162,494
AI training,LIFECYCLE_STAGE,823,495
copyright,LEGAL_SOURCE,752,496
collective licensing,REQUIREMENT,48,497
licensing,LEGAL_SOURCE,847,498
Extended Collective Licensing,LEGAL_SOURCE,48,499
Department of Justice,ACTOR,523,500
antitrust,LEGAL_SOURCE,48,501
AI law,LEGAL_SOURCE,48,502
Copyright and Artificial Intelligence Part 1: Digital Replicas July 2024,LEGAL_SOURCE,49,503
digital replicas,TECHNOLOGY,932,504
monetary damages,PENALTY,49,505
secondary liability,ACCOUNTABILITY,49,506
safe harbor,LEGAL_SOURCE,704,507
First Amendment,LEGAL_SOURCE,529,508
state laws,LEGAL_SOURCE,850,509
state rights of publicity,LEGAL_SOURCE,49,510
U.S. Copyright Office,ACTOR,664,511
courts,ACTOR,927,512
executive branch,ACTOR,550,513
AI governance,LEGAL_SOURCE,883,514
"One Big Beautiful Bill Act 2025, Section 100001 (""Coast guard assets necessary to secure the maritime border and interdict migrants and drugs"")",LEGAL_SOURCE,50,515
unmanned aircraft systems,DOMAIN,658,516
maritime domain awareness equipment,TECHNOLOGY,50,517
autonomous maritime systems,TECHNOLOGY,50,518
United States Code,LEGAL_SOURCE,792,519
reporting requirements,REQUIREMENT,792,520
expenditure plan,LEGAL_SOURCE,50,521
Congressional committees,ACTOR,759,522
Emerging Innovative Border Technologies Act,LEGAL_SOURCE,661,523
border security,REQUIREMENT,696,524
privacy impacts,RISK,51,525
CBP Innovation Teams,REQUIREMENT,661,526
Innovation Teams,REQUIREMENT,661,527
technology acquisition and integration,TECHNOLOGY,51,528
border security operations,ACTOR,661,529
"Western Wildfire Support Act of 2025, Section 205 ""Study on modernizing wildfire response technologies""",LEGAL_SOURCE,52,530
radio communications systems,TECHNOLOGY,52,531
wildland fire,REQUIREMENT,691,532
prescribed fire operations,REQUIREMENT,52,533
real-time or near-real-time situational awareness tools,TECHNOLOGY,52,534
interoperability,REQUIREMENT,863,535
remote sensing,TECHNOLOGY,764,536
mapping capabilities,TECHNOLOGY,52,537
wildland fire predictive modeling,TECHNOLOGY,52,538
congressional committees,ACTOR,791,539
Healthy Technology Act of 2025,LEGAL_SOURCE,53,540
"Federal Food, Drug, and Cosmetic Act",LEGAL_SOURCE,745,541
state statutes,LEGAL_SOURCE,53,542
PATHS Act,LEGAL_SOURCE,724,543
Homeland Security Act of 2002,LEGAL_SOURCE,778,544
contract,REQUIREMENT,773,545
James M. Inhofe National Defense Authorization Act for Fiscal Year 2023,LEGAL_SOURCE,724,546
"One Big Beautiful Bill Act 2025, Section 20004 (""Enhancement of Department of Defense resources for munitions and defense supply chain resiliency"")",LEGAL_SOURCE,55,547
unmanned aerial systems,TECHNOLOGY,645,548
autonomy,RISK,910,549
AI capabilities,TECHNOLOGY,838,550
hypersonic strike programs,TECHNOLOGY,55,551
Department of Defense Credit Program,REQUIREMENT,55,552
critical mineral industries,REQUIREMENT,55,553
AI technology development,TECHNOLOGY,670,554
loans,DOMAIN,826,555
AI advancements,TECHNOLOGY,888,556
"One Big Beautiful Bill Act 2025, Section 20005 (""Enhancement of Department of Defense resources for scaling low-cost weapons into production"")",LEGAL_SOURCE,56,557
Test Resource Management Center,ACTOR,61,558
United States Cyber Command,ACTOR,369,559
AI initiatives,REQUIREMENT,749,560
digital test environment,TECHNOLOGY,56,561
Defense Innovation Unit,ACTOR,198,562
Quantum Benchmarking Initiative,REQUIREMENT,56,563
autonomous military capabilities,TECHNOLOGY,56,564
AI projects,TECHNOLOGY,728,565
"One Big Beautiful Bill Act 2025, Section 112204 (""Implementing artificial intelligence tools for purposes of reducing and recouping improper payments under Medicare"")",LEGAL_SOURCE,57,566
artificial intelligence tools,TECHNOLOGY,273,567
AI vendors,ACTOR,767,568
data scientists,ACTOR,57,569
report to Congress,LEGAL_SOURCE,790,570
AI implementation,LIFECYCLE_STAGE,756,571
Federal Hospital Insurance Trust Fund,REQUIREMENT,57,572
Federal Supplementary Medical Insurance Trust Fund,REQUIREMENT,57,573
Duplicative Grant Consolidation Act,LEGAL_SOURCE,58,574
NSF,ACTOR,797,575
Federal grant applications,LEGAL_SOURCE,58,576
applicant,ACTOR,286,577
"waste, fraud, and abuse",ACCOUNTABILITY,435,578
grant application process,REQUIREMENT,58,579
AI technology,TECHNOLOGY,868,580
Nondiscrimination in Health Programs and Activities,LEGAL_SOURCE,59,581
"discriminating based on race, color, national origin, sex, age, or disability",RISK,59,582
patient care decision support tools,TECHNOLOGY,59,583
health programs or activities,DOMAIN,59,584
race,SENSITIVE_DATA,930,585
sex,SENSITIVE_DATA,930,586
discrimination risks,RISK,171,587
United States-Israel Defense Partnership Act of 2025,LEGAL_SOURCE,60,588
Israel,GEOGRAPHIC,596,589
National Intelligence,ACTOR,630,590
intellectual property rights,LEGAL_SOURCE,882,591
Irregular Warfare Technology Support Directorate,ACTOR,60,592
"One Big Beautiful Bill Act 2025, Section 20002 (""Enhancement of Department of Defense resources for shipbuilding"")",LEGAL_SOURCE,61,593
naval shipbuilding,DOMAIN,61,594
unmanned surface vessel,TECHNOLOGY,61,595
unmanned underwater vehicle,TECHNOLOGY,61,596
maritime robotic autonomous systems,TECHNOLOGY,61,597
robotic autonomous systems proving ground,REQUIREMENT,61,598
wave-powered unmanned underwater vehicles,TECHNOLOGY,61,599
Air National Guard Squadron Preservation Act of 2025,LEGAL_SOURCE,62,600
unmanned or autonomous capabilities,TECHNOLOGY,62,601
F-16,TECHNOLOGY,62,602
combatant commanders,ACTOR,62,603
IRONDOME Act of 2025,LEGAL_SOURCE,63,604
autonomous agents,TECHNOLOGY,63,605
cruise missiles,TECHNOLOGY,63,606
drones,TECHNOLOGY,830,607
"One Big Beautiful Bill Act 2025, Section 20006 (""Enhancement of Department of Defense resources for improving the efficiency and cybersecurity of the Department of Defense"")",LEGAL_SOURCE,64,608
financial statements,LEGAL_SOURCE,670,609
chapter 9A,LEGAL_SOURCE,64,610
"section 2222 of title 10, United States Code",LEGAL_SOURCE,64,611
"Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1638 (""Sense of Congress with respect to use of artificial intelligence to support strategic deterrence"")",LEGAL_SOURCE,65,612
modeling,TECHNOLOGY,769,613
U.S. policy,LEGAL_SOURCE,720,614
nuclear safeguards,RISK,65,615
weapon system functionality,RISK,65,616
validation,LIFECYCLE_STAGE,815,617
command communications,TECHNOLOGY,65,618
employment decisions,EMPLOYMENT,857,619
